,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,sq_particles,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
44,0.727,49,49_0,4.1673326772241985,1.1247666222739616,5.0,0.7440056016148703,0.675437831900562,0.7210644292821855,0.8667114850050154,0.16147689388141842,0.9054656528028893,625000000,COMPLETED,GPKG,113.259375,0.7239342292101949,0.008665106689869587
45,0.712,50,50_0,4.2928386968080865,1.1478555863897137,5.0,0.9574283885825656,0.5066369500638274,0.7016053261914725,0.7768307987341748,0.17871136574254423,1.0,625000000,COMPLETED,GPKG,118.865126,0.715870375891254,0.008543756303642666
46,0.729,51,51_0,4.017374561182002,1.2263445980771766,5.0,0.9308577301981918,0.5980615787554058,0.8182135837032987,0.8345918016755313,0.31996335933247233,0.9271643349107416,51794394468,COMPLETED,GPKG,7072.16389,0.7249322348263904,0.008186514190912333
47,0.666,52,52_0,3.15873737489019,3.567969754487914,1.9099766348942944,0.7899027440627665,0.5931508652874691,0.7077887098443129,0.178869578473124,0.2107630236169676,0.5315469437001453,62500000000,COMPLETED,GPKG,11629.942904,0.6710850345552732,0.008988797264794407
48,0.691,53,53_0,4.269780327819926,5.0,3.0717794703424186,0.9213755023371878,0.1,0.4445466451197785,0.4740870348440153,0.5353874365954985,0.5844783877540751,62500000000,COMPLETED,GPKG,18852.032602,0.6873952288898091,0.009250870559468823
49,0.709,54,54_0,4.111152767922983,1.2586257647571915,4.885815299159731,0.9594260390774179,0.6650897112137771,0.765674946685618,0.8638291746309353,0.097869282680465,0.8810245745716825,62500000000,COMPLETED,GPKG,8527.177332,0.7128312447976362,0.007935536959379024
50,0.661,55,55_0,3.1256711147788687,2.715468645706637,3.5207602968817184,0.6016334890203618,0.7649608246913221,0.6063335369104357,0.6651822195311969,0.550148289606957,0.15339196071033484,62500000000,COMPLETED,GPKG,11067.154175,0.6618428675331615,0.00942530179366414
52,0.705,56,56_0,4.399245575659385,2.412900247943056,3.4861328749418248,0.7686509732929427,0.8172205749509786,0.3945191125283781,0.7725530604664878,0.4529461931427729,0.26899959310523136,62500000000,COMPLETED,GPKG,14517.329341,0.704679953938098,0.007511319930205419
53,0.64,57,57_0,3.1287705601854015,3.409035917255883,1.0,0.7884296799240226,0.39206550070228885,0.438198208781334,0.0033879920197415246,0.14345810407859166,0.6365003011719312,62500000000,COMPLETED,GPKG,933.41446,0.6425416020562997,0.009412433425133229
54,0.721,58,58_0,4.168602629040458,1.3194228153742449,4.833618597280839,0.9718919397185147,0.7696763428675585,0.6389545008954816,0.7546390591093247,0.28200322429718,0.8838796557303984,62500000000,COMPLETED,GPKG,16241.51201,0.7219782860282761,0.007830864315666887
55,0.709,59,59_0,4.401462474426413,2.4298400480550533,3.505139247204918,0.7620902467224571,0.822996485568704,0.3162059210520588,0.7669668045101572,0.4217576870205699,0.2825476568827254,62500000000,COMPLETED,GPKG,14485.852255,0.7054852637653141,0.007196699923280439
56,0.732,60,60_0,4.145130421287246,1.31416581355579,4.958693280727728,0.914458330047887,0.6715153310773224,0.6967593902520115,0.7701867810831471,0.2816923990983174,0.7298990814945665,62500000000,COMPLETED,GPKG,10707.546857,0.7310280612009215,0.007153672549787339
57,0.599,61,61_0,2.7478599071316236,1.0498173118357192,2.963661572250676,0.11963197520778227,0.29112484101380576,0.6868242176075727,0.1223821499343246,0.2989480664861732,0.20202697536734093,56563592632,COMPLETED,GPKG,2516.352707,0.6025527200413072,0.009587279791415916
58,0.741,62,62_0,4.075291423972725,1.183982343517453,5.0,0.9663868475122639,0.8298683528576396,0.7976588313501238,0.9616776194586677,0.3301043665953552,0.8076931798039969,62500000000,COMPLETED,GPKG,20470.618425,0.7346965539818877,0.008249541484336056
59,0.695,63,63_0,4.033949931771239,1.3545397226314266,5.0,0.8154379085239729,0.7196687482384987,0.6435543177247774,0.8798591430364089,0.415172954394897,0.9294329418580719,625000000,COMPLETED,GPKG,94.458376,0.6968904020133181,0.00906200582060996
60,0.752,64,64_0,4.038556967609868,1.0,5.0,1.0,0.7680572906156369,0.6721826963853538,0.9345727482045886,0.21025496010434624,1.0,625000000,COMPLETED,GPKG,96.428928,0.7482195019266881,0.007422184090852733
61,0.751,65,65_0,4.110325697797614,1.0115367617232547,4.359098202910667,0.934136799607432,0.7044387445639445,0.6919777443396931,1.0,0.21752207688100847,1.0,62500000000,COMPLETED,GPKG,16634.580117,0.7469385446529601,0.007480422997109543
62,0.758,66,66_0,4.314315425164266,1.0,4.438974773316106,0.9447459035750041,0.7886841566044632,0.7650191173687118,0.90458740632043,0.19075490535270812,0.7119119447217951,625000000,COMPLETED,GPKG,100.483606,0.7507716466357195,0.006765052884573017
64,0.743,67,67_0,4.2949613547657055,1.1493429365308636,3.789814273312426,0.9565272373597656,0.8190996773172239,0.5985851219969848,0.8816789220739439,0.2045351819971878,0.8230091953259936,54999635828,COMPLETED,GPKG,17874.774959,0.7419781753652084,0.007803723880158077
65,0.72,68,68_0,4.343297110167374,1.0,5.0,0.9242191579265052,0.8970299869159342,0.6068089146197451,0.9277792808478388,0.14681614544802984,0.7276263198360491,625000000,COMPLETED,GPKG,142.434397,0.7242319237437423,0.008588005893192243
66,0.699,69,69_0,4.060420342174712,1.0,3.9762885270672497,0.960009908017539,0.7876174024487758,0.8201871781232551,0.7986275590124191,0.2513086441618303,0.8720785335744072,625000000,COMPLETED,GPKG,109.20774,0.7062574908582518,0.00851783584853064
67,0.738,70,70_0,4.458814353566037,1.0,5.0,1.0,0.6886111275918129,0.8632221205335655,0.998618188309829,0.18636103764134976,0.7542244234659607,625000000,COMPLETED,GPKG,100.705275,0.7376699652140892,0.008245361297556368
68,0.724,71,71_0,3.761670749508395,1.0,5.0,0.9065790468169933,0.7599446532422793,0.8015555717184925,0.9724645066058817,0.22925796111780633,0.6876358125954039,625000000,COMPLETED,GPKG,85.313986,0.7249021966375607,0.008329132195387102
